published_date;list_id;age_group;amazon_product_url;article_chapter_link;author;book_image;book_image_width;book_image_height;book_review_link;book_uri;contributor;contributor_note;created_date;description;first_chapter_link;price;primary_isbn10;primary_isbn13;publisher;rank;rank_last_week;sunday_review_link;title;updated_date;weeks_on_list
2022-09-25;2;;https://www.amazon.com/dp/0063076098?tag=NYTBSREV-20;;Dave Grohl;https://storage.googleapis.com/du-prd/books/images/9780063076099.jpg;331;500;;nyt://book/93914c6c-1313-51de-aa16-047a120720a9;by Dave Grohl;;2022-09-14 22:18:24;A memoir by the musician known for his work with Foo Fighters and Nirvana.;;0.00;0063076098;9780063076099;Dey Street;5;0;;THE STORYTELLER;2022-09-14 23:26:40;34
2022-09-25;2;;https://www.amazon.com/dp/0465019595?tag=NYTBSREV-20;;J. Bradford DeLong;https://storage.googleapis.com/du-prd/books/images/9780465019595.jpg;323;500;;nyt://book/61166d67-0577-53bf-bcca-faf23c598d1d;by J. Bradford DeLong;;2022-09-14 22:18:24;The former deputy assistant secretary of the U.S. Treasury details shifts in material wealth and their impact from 1870 to 2010.;;0.00;0465019595;9780465019595;Basic;6;0;;SLOUCHING TOWARDS UTOPIA;2022-09-14 23:26:40;1
2022-09-25;2;;https://www.amazon.com/dp/0063037327?tag=NYTBSREV-20;;Viola Davis;https://storage.googleapis.com/du-prd/books/images/9780063037328.jpg;331;500;;nyt://book/ffe47bbb-a766-5337-9268-4480e3c9e4b9;by Viola Davis;;2022-09-14 22:18:24;The multiple award-winning actress describes the difficulties she encountered before claiming her sense of self and achieving professional success.;;0.00;0063037327;9780063037328;HarperOne;7;6;;FINDING ME;2022-09-14 23:26:40;20
2022-09-25;2;;https://www.amazon.com/dp/1984878107?tag=NYTBSREV-20;;Adam Grant;https://storage.googleapis.com/du-prd/books/images/9781984878106.jpg;331;500;;nyt://book/63c6144a-3991-5653-ad88-4bca2e9afc1b;by Adam Grant;;2022-09-14 22:18:24;An examination of the cognitive skills of rethinking and unlearning that could be used to adapt to a rapidly changing world.;;0.00;1984878107;9781984878106;Viking;8;8;;THINK AGAIN;2022-09-14 23:26:40;36
2022-09-25;2;;https://www.amazon.com/dp/0759554226?tag=NYTBSREV-20;;James Patterson and Chris Mooney;https://storage.googleapis.com/du-prd/books/images/9780759554221.jpg;323;500;;nyt://book/636d9989-9de4-58a1-8620-d819e6f60e81;by James Patterson and Chris Mooney;;2022-09-14 22:18:25;A biography of the late Princess of Wales and her sons.;;0.00;0759554226;9780759554221;Little, Brown;9;3;;DIANA, WILLIAM, AND HARRY;2022-09-14 23:26:40;4
2022-09-25;2;;https://www.amazon.com/dp/0063215047?tag=NYTBSREV-20;;Pete Hegseth with David Goodwin;https://storage.googleapis.com/du-prd/books/images/9780063215047.jpg;331;500;;nyt://book/17fe7fef-0365-5c1f-b51b-2dbad2c6261e;by Pete Hegseth with David Goodwin;;2022-09-14 22:18:25;"The ""Fox & Friends Weekend"" host makes his case for what he calls classical Christian education.";;0.00;0063215047;9780063215047;Broadside;10;0;;BATTLE FOR THE AMERICAN MIND;2022-09-14 23:26:41;12
2022-09-25;2;;https://www.amazon.com/dp/1250223180?tag=NYTBSREV-20;;Bruce D. Perry and Oprah Winfrey;https://storage.googleapis.com/du-prd/books/images/9781250223180.jpg;319;500;;nyt://book/5bd45771-6d8f-5a8e-aa45-46b74262534e;by Bruce D. Perry and Oprah Winfrey;;2022-09-14 22:18:25;An approach to dealing with trauma that shifts an essential question used to investigate it.;;0.00;1250223180;9781250223180;Flatiron;11;9;;WHAT HAPPENED TO YOU?;2022-09-14 23:26:41;45
2022-09-25;2;;https://www.amazon.com/dp/1501106376?tag=NYTBSREV-20;;Rinker Buck;https://storage.googleapis.com/du-prd/books/images/9781501106378.jpg;336;500;;nyt://book/5253c516-6a23-512b-883b-5f798d009a57;by Rinker Buck;;2022-09-14 22:18:25;The author of “The Oregon Trail” recounts his adventures on a wooden flatboat and challenges the myths of American expansion.;;0.00;1501106376;9781501106378;Avid Reader;12;7;;LIFE ON THE MISSISSIPPI;2022-09-14 23:26:41;5
2022-09-25;2;;https://www.amazon.com/dp/1476748411?tag=NYTBSREV-20;;David Maraniss;https://storage.googleapis.com/du-prd/books/images/9781476748412.jpg;329;500;;nyt://book/f34f3bb5-112b-565f-ad06-95b461c22e57;by David Maraniss;;2022-09-14 22:18:25;The life story of the Olympic athlete, All-American football player and Major League Baseball player Jim Thorpe.;;0.00;1476748411;9781476748412;Simon & Schuster;13;4;;PATH LIT BY LIGHTNING;2022-09-14 23:26:41;5
2022-09-25;2;;https://www.amazon.com/dp/0374298629?tag=NYTBSREV-20;;Mary Rodgers and Jesse Green;https://storage.googleapis.com/du-prd/books/images/9780374298623.jpg;333;500;;nyt://book/451ec84a-c56d-532e-a832-cdeebfe7b12e;by Mary Rodgers and Jesse Green;;2022-09-14 22:18:25;The memoirs of the late composer, author and screenwriter, written with the chief theater critic at The New York Times.;;0.00;0374298629;9780374298623;Farrar, Straus and Giroux;14;0;;SHY;2022-09-14 23:26:41;2
2022-09-25;2;;https://www.amazon.com/dp/0593138090?tag=NYTBSREV-20;;Tina Brown;https://storage.googleapis.com/du-prd/books/images/9780593138090.jpg;329;500;;nyt://book/00df1009-e6a5-5bd9-b180-351a709b35d4;by Tina Brown;;2022-09-14 22:18:25;This follow-up to “The Diana Chronicles” details how the royal family reinvented itself after the death of Princess Diana.;;0.00;0593138090;9780593138090;Crown;15;0;;THE PALACE PAPERS;2022-09-14 23:26:41;8
2022-10-02;1;;https://www.amazon.com/dp/1668002175?tag=NYTBSREV-20;;Stephen King;https://storage.googleapis.com/du-prd/books/images/9781668002179.jpg;329;500;;nyt://book/1c203c2d-147d-5639-8e0c-009ba6f15698;by Stephen King;;2022-09-21 22:06:21;A high school kid inherits a shed that is a portal to another world where good and evil are at war.;;0.00;1668002175;9781668002179;Scribner;1;1;;FAIRY TALE;2022-09-21 22:10:42;2
2022-10-02;1;;https://www.amazon.com/dp/1638930147?tag=NYTBSREV-20;;Alaina Urquhart;https://storage.googleapis.com/du-prd/books/images/9781638930143.jpg;331;500;;nyt://book/5751d4ec-22c1-5b5a-af52-b81ac819258f;by Alaina Urquhart;;2022-09-21 22:06:21;A forensic pathologist is on the trail of a serial killer in the Louisiana bayou.;;0.00;1638930147;9781638930143;Zando;2;0;;THE BUTCHER AND THE WREN;2022-09-21 22:10:42;1
2022-10-02;1;;https://www.amazon.com/dp/1982164913?tag=NYTBSREV-20;;Kyle Mills;https://storage.googleapis.com/du-prd/books/images/9781982164911.jpg;327;500;;nyt://book/c5e118a2-4181-5c35-9fee-c0c68a55854c;by Kyle Mills;;2022-09-21 22:06:21;The 21st book in the Mitch Rapp series. President Cook, a team of assassins and a killer known as Legion confront Rapp on different fronts.;;0.00;1982164913;9781982164911;Atria/Emily Bestler;3;0;;VINCE FLYNN: OATH OF LOYALTY;2022-09-21 22:10:42;1
2022-10-02;1;;https://www.amazon.com/dp/1250854113?tag=NYTBSREV-20;;Tamsyn Muir;https://storage.googleapis.com/du-prd/books/images/9781250854117.jpg;324;500;;nyt://book/1b554b58-0f0f-555f-9298-cca4d2a7a050;by Tamsyn Muir;;2022-09-21 22:06:21;Six months after waking up in a stranger’s body, Nona is torn between living an ordinary life or saving those around her from strange forces.;;0.00;1250854113;9781250854117;Tordotcom;4;0;;NONA THE NINTH;2022-09-21 22:10:42;1
2022-10-02;1;;https://www.amazon.com/dp/0316499633?tag=NYTBSREV-20;;James Patterson and Brendan DuBois;https://storage.googleapis.com/du-prd/books/images/9780316499637.jpg;331;500;;nyt://book/befe7f67-43f1-565e-b59f-6c9e3c22a089;by James Patterson and Brendan DuBois;;2022-09-21 22:06:21;President Keegan Barrett’s power grab tests the loyalties of two C.I.A. agents.;;0.00;0316499633;9780316499637;Little, Brown;5;0;;BLOWBACK;2022-09-21 22:10:42;1
2022-10-02;1;;https://www.amazon.com/dp/0593496477?tag=NYTBSREV-20;;Ashley Flowers with Alex Kiester;https://storage.googleapis.com/du-prd/books/images/9780593496473.jpg;329;500;;nyt://book/bcd83101-adb5-5ef7-aa35-9514fbe16961;by Ashley Flowers with Alex Kiester;;2022-09-21 22:06:21;A journalist who returns to her hometown vows to find a missing girl and solve a 20-year-old cold case.;;0.00;0593496477;9780593496473;Bantam;6;4;;ALL GOOD PEOPLE HERE;2022-09-21 22:10:42;5
2022-10-02;1;;https://www.amazon.com/dp/0593158687?tag=NYTBSREV-20;;Taylor Jenkins Reid;https://storage.googleapis.com/du-prd/books/images/9780593158685.jpg;329;500;;nyt://book/6c803fcf-d473-561a-bff4-70afb1394a28;by Taylor Jenkins Reid;;2022-09-21 22:06:21;A tennis player comes out of retirement and trains with her father to defend her record.;;0.00;0593158687;9780593158685;Ballantine;7;3;;CARRIE SOTO IS BACK;2022-09-21 22:10:42;3
2022-10-02;1;;https://www.amazon.com/dp/1538719843?tag=NYTBSREV-20;;David Baldacci;https://storage.googleapis.com/du-prd/books/images/9781538719848.jpg;330;500;;nyt://book/e74242b1-8445-5b50-a286-0bbcc344c87a;by David Baldacci;;2022-09-21 22:06:21;When his ex-girlfriend turns up dead in his office building, an entry-level investment analyst delves into the halls of economic power.;;0.00;1538719843;9781538719848;Grand Central;8;6;;THE 6:20 MAN;2022-09-21 22:10:42;10
2022-10-02;1;;https://www.amazon.com/dp/038554734X?tag=NYTBSREV-20;;Bonnie Garmus;https://storage.googleapis.com/du-prd/books/images/9780385547345.jpg;328;500;;nyt://book/717e0ead-9782-567d-af27-d9a6cfb1856f;by Bonnie Garmus;;2022-09-21 22:06:21;A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.;;0.00;038554734X;9780385547345;Doubleday;9;13;;LESSONS IN CHEMISTRY;2022-09-21 22:10:42;20
