published_date;list_id;age_group;amazon_product_url;article_chapter_link;author;book_image;book_image_width;book_image_height;book_review_link;book_uri;contributor;contributor_note;created_date;description;first_chapter_link;price;primary_isbn10;primary_isbn13;publisher;rank;rank_last_week;sunday_review_link;title;updated_date;weeks_on_list
2023-02-12;1;;https://www.amazon.com/dp/0525559477?tag=NYTBSREV-20;;Matt Haig;https://storage.googleapis.com/du-prd/books/images/9780525559474.jpg;331;500;;nyt://book/60d0ee2d-3d05-50c9-a484-050d17a2308e;by Matt Haig;;2023-02-01 23:11:20;Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.;;0.00;0525559477;9780525559474;Viking;13;15;;THE MIDNIGHT LIBRARY;2023-02-01 23:15:42;101
2023-02-12;1;;https://www.amazon.com/dp/0399562966?tag=NYTBSREV-20;;Geraldine Brooks;https://storage.googleapis.com/du-prd/books/images/9780399562969.jpg;331;500;;nyt://book/0c83e517-70e6-5c2a-8d5e-2e95363c108f;by Geraldine Brooks;;2023-02-01 23:11:20;The story of a racehorse, an enslaved groom and an itinerant painter reverberates in three different eras.;;0.00;0399562966;9780399562969;Viking;14;0;;HORSE;2023-02-01 23:15:42;9
2023-02-12;1;;https://www.amazon.com/dp/1501171348?tag=NYTBSREV-20;;Laura Dave;https://storage.googleapis.com/du-prd/books/images/9781501171345.jpg;331;500;;nyt://book/b38ae769-e873-5272-bb5a-c58a35162db1;by Laura Dave;;2023-02-01 23:11:20;Hannah Hall discovers truths about her missing husband and bonds with his daughter from a previous relationship.;;0.00;1501171348;9781501171345;Simon & Schuster;15;14;;THE LAST THING HE TOLD ME;2023-02-01 23:15:42;65
2023-02-12;2;;https://www.amazon.com/dp/0593593804?tag=NYTBSREV-20;;Prince Harry;https://storage.googleapis.com/du-prd/books/images/9780593593806.jpg;329;500;;nyt://book/f65a1f09-ba88-56d7-8674-390729e19b89;by Prince Harry;;2023-02-01 23:11:23;The Duke of Sussex details his struggles with the royal family, loss of his mother, service in the British Army and marriage to Meghan Markle.;;0.00;0593593804;9780593593806;Random House;1;1;;SPARE;2023-02-01 23:15:45;3
2023-02-12;2;;https://www.amazon.com/dp/1982185821?tag=NYTBSREV-20;;Jennette McCurdy;https://storage.googleapis.com/du-prd/books/images/9781982185824.jpg;329;500;;nyt://book/be73b1c3-c238-5232-af55-bf70c59cb907;by Jennette McCurdy;;2023-02-01 23:11:23;The actress and filmmaker describes her eating disorders and difficult relationship with her mother.;;0.00;1982185821;9781982185824;Simon & Schuster;2;4;;I'M GLAD MY MOM DIED;2023-02-01 23:15:45;25
2023-02-12;2;;https://www.amazon.com/dp/0063247445?tag=NYTBSREV-20;;Mike Pompeo;https://storage.googleapis.com/du-prd/books/images/9780063247444.jpg;331;500;;nyt://book/ce015d0f-ea8f-5d6e-bd85-068d68dcd8a3;by Mike Pompeo;;2023-02-01 23:11:23;The former secretary of state gives his account of his time serving under President Trump, with a focus on an America First approach.;;0.00;0063247445;9780063247444;Broadside;3;0;;NEVER GIVE AN INCH;2023-02-01 23:15:45;1
2023-02-12;2;;https://www.amazon.com/dp/0593237463?tag=NYTBSREV-20;;Michelle Obama;https://storage.googleapis.com/du-prd/books/images/9780593237465.jpg;329;500;;nyt://book/0d03e9db-3692-5798-a2a6-ab16683898d9;by Michelle Obama;;2023-02-01 23:11:23;The former first lady shares personal stories and the tools she uses to deal with difficult situations.;;0.00;0593237463;9780593237465;Crown;4;2;;THE LIGHT WE CARRY;2023-02-01 23:15:45;11
2023-02-12;2;;https://www.amazon.com/dp/1250777267?tag=NYTBSREV-20;;Brad Meltzer and Josh Mensch;https://storage.googleapis.com/du-prd/books/images/9781250777263.jpg;329;500;;nyt://book/21170a27-e49d-557b-8eaa-a399832ffbe4;by Brad Meltzer and Josh Mensch;;2023-02-01 23:11:23;The story of a Nazi plot to kill President Roosevelt, Joseph Stalin and Winston Churchill.;;0.00;1250777267;9781250777263;Flatiron;5;3;;THE NAZI CONSPIRACY;2023-02-01 23:15:45;3
2023-02-12;2;;https://www.amazon.com/dp/1982189495?tag=NYTBSREV-20;;Stephen A. Smith;https://storage.googleapis.com/du-prd/books/images/9781982189495.jpg;329;500;;nyt://book/eac611bd-cb3f-58f6-a9f4-306349996fa5;by Stephen A. Smith;;2023-02-01 23:11:23;The ESPN analyst recounts the highs and lows of his life and career.;;0.00;1982189495;9781982189495;Gallery/13A;6;5;;STRAIGHT SHOOTER;2023-02-01 23:15:45;2
2023-02-12;2;;https://www.amazon.com/dp/1250866448?tag=NYTBSREV-20;;Matthew Perry;https://storage.googleapis.com/du-prd/books/images/9781250866448.jpg;329;500;;nyt://book/04988f91-5b03-5eb4-ae17-89fda0e7051a;by Matthew Perry;;2023-02-01 23:11:23;The actor, known for playing Chandler Bing on “Friends,” shares stories from his childhood and his struggles with sobriety.;;0.00;1250866448;9781250866448;Flatiron;7;6;;FRIENDS, LOVERS, AND THE BIG TERRIBLE THING;2023-02-01 23:15:45;13
2023-02-12;2;;https://www.amazon.com/dp/0593230574?tag=NYTBSREV-20;;edited  Nikole Hannah-Jones, Caitlin Roper, Ilena Silverman and Jake Silverstein;https://storage.googleapis.com/du-prd/books/images/9780593230572.jpg;331;500;;nyt://book/a38e3654-a631-555f-92be-bb380296e141;edited by Nikole Hannah-Jones, Caitlin Roper, Ilena Silverman and Jake Silverstein;edited by Nikole Hannah-Jones, Caitlin Roper, Ilena Silverman and Jake Silverstein;2023-02-01 23:11:23;Viewing America’s entanglement with slavery and its legacy, in essays adapted and expanded from The New York Times Magazine.;;0.00;0593230574;9780593230572;One World;8;0;;THE 1619 PROJECT;2023-02-01 23:15:45;30
2023-02-12;2;;https://www.amazon.com/dp/0525521046?tag=NYTBSREV-20;;Bono;https://storage.googleapis.com/du-prd/books/images/9780525521044.jpg;338;500;;nyt://book/3cbc9603-c413-5c58-9cfc-ddba0c360ac3;by Bono;;2023-02-01 23:11:23;The lead singer of the Irish rock band U2 offers details of his life, career and activism.;;0.00;0525521046;9780525521044;Knopf;9;14;;SURRENDER;2023-02-01 23:15:45;13
