book_uri;buy_links_amazon;buy_links_apple_books;buy_links_barnes_and_noble;buy_links_books_a_million;buy_links_bookshop;buy_links_indie_bound
nyt://book/d0f133b3-430c-5db9-a168-69f045f57e87;https://www.amazon.com/dp/1250313104?tag=NYTBSREV-20;https://goto.applebooks.apple/9781250313102?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781250313102;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FHELL%2BBENT%2FLeigh%2BBardugo%2F9781250313102;https://bookshop.org/a/3546/9781250313102;https://www.indiebound.org/book/9781250313102?aff=NYT
nyt://book/d1806d6c-8224-521d-bc66-b17d73bad4dc;https://www.amazon.com/dp/1250821762?tag=NYTBSREV-20;https://goto.applebooks.apple/9781250821768?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781250821768;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FGROWING%2BUP%2BBIDEN%2FValerie%2BBiden%2BOwens%2F9781250821768;https://bookshop.org/a/3546/9781250821768;https://www.indiebound.org/book/9781250821768?aff=NYT
nyt://book/d2451445-abcc-5c89-84b6-8f3045f1f201;https://www.amazon.com/dp/0593443071?tag=NYTBSREV-20;https://goto.applebooks.apple/9780593443071?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593443071;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTYRANNY%2BOF%2BTHE%2BMINORITY%2FSteven%2BLevitsky%2Band%2BDaniel%2BZiblatt%2F9780593443071;https://bookshop.org/a/3546/9780593443071;https://www.indiebound.org/book/9780593443071?aff=NYT
nyt://book/d2e8f731-1d6a-57c9-976e-83cb7809bb3b;https://www.amazon.com/dp/1984821806?tag=NYTBSREV-20;https://goto.applebooks.apple/9781984821805?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781984821805;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FWORTHY%2BOPPONENTS%2FDanielle%2BSteel%2F9781984821805;https://bookshop.org/a/3546/9781984821805;https://www.indiebound.org/book/9781984821805?aff=NYT
nyt://book/d312abb9-9d34-5782-b0ac-b2becc574a6d;https://www.amazon.com/dp/0451499786?tag=NYTBSREV-20;https://goto.applebooks.apple/9780451499783?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780451499783;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FBITTERSWEET%2FSusan%2BCain%2F9780451499783;https://bookshop.org/a/3546/9780451499783;https://www.indiebound.org/book/9780451499783?aff=NYT
nyt://book/d33cd4ea-c172-5166-8180-c266bd9715ad;https://www.amazon.com/dp/1541603923?tag=NYTBSREV-20;https://goto.applebooks.apple/9781541603929?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781541603929;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FSOCIAL%2BJUSTICE%2BFALLACIES%2FThomas%2BSowell%2F9781541603929;https://bookshop.org/a/3546/9781541603929;https://www.indiebound.org/book/9781541603929?aff=NYT
nyt://book/d5accc4c-db6e-5e3a-8d06-be777890922c;https://www.amazon.com/dp/0593489446?tag=NYTBSREV-20;https://goto.applebooks.apple/9780593489444?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593489444;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FLEADERSHIP%2FHenry%2BKissinger%2F9780593489444;https://bookshop.org/a/3546/9780593489444;https://www.indiebound.org/book/9780593489444?aff=NYT
nyt://book/d64f056d-4e76-5895-80c2-38a7f9194255;https://www.amazon.com/dp/166802828X?tag=NYTBSREV-20;https://goto.applebooks.apple/9781668028285?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781668028285;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FENOUGH%2FCassidy%2BHutchinson%2F9781668028285;https://bookshop.org/a/3546/9781668028285;https://www.indiebound.org/book/9781668028285?aff=NYT
nyt://book/d6ca6dbc-c8eb-5574-885d-5f7542ec7d92;https://www.amazon.com/dp/0451494644?tag=NYTBSREV-20;https://goto.applebooks.apple/9780451494641?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780451494641;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FNOVELIST%2BAS%2BA%2BVOCATION%2FHaruki%2BMurakami%2F9780451494641;https://bookshop.org/a/3546/9780451494641;https://www.indiebound.org/book/9780451494641?aff=NYT
nyt://book/d6eb862a-53a6-52e8-a09c-9c1e10448cc4;https://www.amazon.com/dp/0063082195?tag=NYTBSREV-20;https://goto.applebooks.apple/9780063082199?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780063082199;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FWELCOME%2BTO%2BDUNDER%2BMIFFLIN%2FBrian%2BBaumgartner%2Band%2BBen%2BSilverman%2F9780063082199;https://bookshop.org/a/3546/9780063082199;https://www.indiebound.org/book/9780063082199?aff=NYT
