book_uri;buy_links_amazon;buy_links_apple_books;buy_links_barnes_and_noble;buy_links_books_a_million;buy_links_bookshop;buy_links_indie_bound
nyt://book/c54cea9d-9bc1-50e5-a51f-57b00bff3009;https://www.amazon.com/dp/038554653X?tag=NYTBSREV-20;https://goto.applebooks.apple/9780385546539?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780385546539;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BDIVIDER%2FPeter%2BBaker%2Band%2BSusan%2BGlasser%2F9780385546539;https://bookshop.org/a/3546/9780385546539;https://www.indiebound.org/book/9780385546539?aff=NYT
nyt://book/c5e118a2-4181-5c35-9fee-c0c68a55854c;https://www.amazon.com/dp/1982164913?tag=NYTBSREV-20;https://goto.applebooks.apple/9781982164911?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781982164911;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FVINCE%2BFLYNN%253A%2BOATH%2BOF%2BLOYALTY%2FKyle%2BMills%2F9781982164911;https://bookshop.org/a/3546/9781982164911;https://www.indiebound.org/book/9781982164911?aff=NYT
nyt://book/c789a035-0507-529f-bc7a-c3e829948370;https://www.amazon.com/dp/1538748363?tag=NYTBSREV-20;https://goto.applebooks.apple/9781538748367?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781538748367;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FI%2BWILL%2BFIND%2BYOU%2FHarlan%2BCoben%2F9781538748367;https://bookshop.org/a/3546/9781538748367;https://www.indiebound.org/book/9781538748367?aff=NYT
nyt://book/c80c363e-70d6-5d41-9003-4e8438b52a99;https://www.amazon.com/dp/0593422414?tag=NYTBSREV-20;https://goto.applebooks.apple/9780593422410?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593422410;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FDARK%2BANGEL%2FJohn%2BSandford%2F9780593422410;https://bookshop.org/a/3546/9780593422410;https://www.indiebound.org/book/9780593422410?aff=NYT
nyt://book/c8237a48-518b-554e-97b0-c85e18b7bdb2;https://www.amazon.com/dp/0062977407?tag=NYTBSREV-20;https://goto.applebooks.apple/9780062977403?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780062977403;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FSOUTH%2BTO%2BAMERICA%2FImani%2BPerry%2F9780062977403;https://bookshop.org/a/3546/9780062977403;https://www.indiebound.org/book/9780062977403?aff=NYT
nyt://book/c84179fb-dd5a-5952-a85f-cf44ea84e8e3;https://www.amazon.com/dp/0593422759?tag=NYTBSREV-20;https://goto.applebooks.apple/9780593422755?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593422755;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTOM%2BCLANCY%253A%2BRED%2BWINTER%2FMarc%2BCameron%2F9780593422755;https://bookshop.org/a/3546/9780593422755;https://www.indiebound.org/book/9780593422755?aff=NYT
nyt://book/c891ebc2-6eb1-502e-8c80-bfc67491f739;https://www.amazon.com/dp/1538736772?tag=NYTBSREV-20;https://goto.applebooks.apple/9781538736777?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781538736777;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BCABINET%2BOF%2BDR.%2BLENG%2FDouglas%2BPreston%2Band%2BLincoln%2BChild%2F9781538736777;https://bookshop.org/a/3546/9781538736777;https://www.indiebound.org/book/9781538736777?aff=NYT
nyt://book/c894e4dd-3e61-536d-8c70-edd0cd4665bd;https://www.amazon.com/dp/0062834878?tag=NYTBSREV-20;https://goto.applebooks.apple/9780062834874?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780062834874;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BCOLLECTOR%2FDaniel%2BSilva%2F9780062834874;https://bookshop.org/a/3546/9780062834874;https://www.indiebound.org/book/9780062834874?aff=NYT
nyt://book/c8fb3e22-2c39-584c-b24a-fded3b2d76d2;https://www.amazon.com/dp/1954118317?tag=NYTBSREV-20;https://goto.applebooks.apple/9781954118317?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781954118317;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FA%2BHEART%2BTHAT%2BWORKS%2FRob%2BDelaney%2F9781954118317;https://bookshop.org/a/3546/9781954118317;https://www.indiebound.org/book/9781954118317?aff=NYT
nyt://book/c91a96f7-cfd6-52f0-9ed8-7b9aab50e1d2;https://www.amazon.com/dp/1400236258?tag=NYTBSREV-20;https://goto.applebooks.apple/9781400236251?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781400236251;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FADVERSITY%2BFOR%2BSALE%2FJay%2B%2522Jeezy%2522%2BJenkins%2Bwith%2BBenjamin%2BMeadows-Ingram%2F9781400236251;https://bookshop.org/a/3546/9781400236251;https://www.indiebound.org/book/9781400236251?aff=NYT
